id,name,district_code,abbr,latitude,longitude,pinyin
1159,平谷,110117,PG,40.140621,117.121407,pinggu
1160,沙县,350427,SX,26.396170,117.792679,shaxian
1161,古田,350922,GT,26.577620,118.746063,gutian
1162,正阳,411724,ZY,32.605659,114.392738,zhengyang
1163,绥棱,231226,SL,47.236092,127.114777,suiling
1164,土默特右旗,150221,TMTYQ,40.568829,110.524208,tumoteyouqi
1165,高陵,610126,GL,34.534870,109.088219,gaoling
1166,代县,140923,DX,39.066891,112.959961,daixian
1167,河池,451200,HC,24.692909,108.085403,hechi
1168,常山县,330822,CS,28.901409,118.511162,changshan
1169,阿荣旗,150721,ARQ,48.125820,123.459442,arongqi
1170,寻乌,360734,XW,24.963511,115.646729,xunwu
1171,瑞昌,360481,RC,29.676580,115.681030,ruichang
1172,宁化,350424,NH,26.261780,116.654427,ninghua
1173,怀柔,110116,HY,40.316002,116.631767,huairou
1174,潮南,440514,CN,23.250290,116.433098,chaonan
1175,黔南,522700,QN,26.254271,107.522263,qiannan
1176,黔东南,522600,QDN,26.583639,107.984161,qiandongnan
1177,黔西南,522300,QXN,25.089880,104.904373,qianxinan
1178,濮阳县,410928,PY,35.712212,115.029030,puyangxian
1202,满城县,130621,MCX,38.948921,115.322166,manchengxian
1207,高阳县,130628,GYX,38.700069,115.778839,gaoyangxian
1300,新绛,140825,XJ,35.613697,111.225204,xinjiang
1487,肇源,230622,ZY,45.518833,125.081970,zhaoyuan
1509,明水,231225,MS,47.183529,125.907547,mingshui
1564,武夷山,350782,WYS,27.751734,118.032799,wuyishan
1565,上杭县,350823,SHX,25.049431,116.420258,shanghangxian
1573,安义,360123,AY,28.841333,115.553108,anyi
1583,共青城,360482,GQC,29.248400,115.794060,gongqingcheng
1919,甘孜藏族自治州,513300,GZZZZZZ,31.618486,99.991486,ganzizangzuzizhizhou
1938,凉山彝族自治州,513400,LSYZZZZ,27.886763,102.258743,liangshanyizuzizhizhou
